[2026-08-07 14:51:01,103] [INFO] Инициализация MainWindow FaceBlur Studio v1.1.16
[2026-08-07 14:51:04,790] [INFO] Нажата кнопка выбора видеофайла.
[2026-08-07 14:51:08,700] [INFO] Выбран видеофайл: /Users/sirdimitry/Downloads/autoBlureStudio/6 кадров_.mp4
[2026-08-07 14:51:08,700] [INFO] Сброс масштаба и панорамирования холста.
[2026-08-07 14:51:09,022] [INFO] Видео успешно загружено. Кадров в памяти: 1131
[2026-08-07 14:51:11,774] [INFO] Нажата кнопка запуска анализа видео.
[2026-08-07 14:51:11,774] [INFO] Фоновый поток детекции запущен.
[2026-08-07 14:51:11,775] [INFO] Загрузка модели детектора из: /Users/sirdimitry/Documents/Python/QA/FaceBlur/yolov8s-face.pt
[2026-08-07 14:51:57,290] [INFO] Детекция кадров завершена успешно.
[2026-08-07 14:51:57,314] [INFO] Обработка завершения анализа в UI потоке.
[2026-08-07 14:51:57,317] [INFO] Собрано уникальных лиц: 30
[2026-08-07 14:51:57,317] [INFO] Отрисовка галереи найденных объектов...
[2026-08-07 14:52:35,145] [INFO] Изменена сила размытия: 28%
[2026-08-07 14:52:35,415] [INFO] Изменена сила размытия: 28%
[2026-08-07 14:52:35,432] [INFO] Изменена сила размытия: 29%
[2026-08-07 14:52:35,468] [INFO] Изменена сила размытия: 30%
[2026-08-07 14:52:35,487] [INFO] Изменена сила размытия: 32%
[2026-08-07 14:52:35,528] [INFO] Изменена сила размытия: 34%
[2026-08-07 14:52:35,549] [INFO] Изменена сила размытия: 35%
[2026-08-07 14:52:35,589] [INFO] Изменена сила размытия: 37%
[2026-08-07 14:52:35,612] [INFO] Изменена сила размытия: 39%
[2026-08-07 14:52:35,653] [INFO] Изменена сила размытия: 42%
[2026-08-07 14:52:35,680] [INFO] Изменена сила размытия: 42%
[2026-08-07 14:52:35,724] [INFO] Изменена сила размытия: 43%
[2026-08-07 14:52:36,870] [INFO] Изменен размер маски: 19%
[2026-08-07 14:52:37,074] [INFO] Изменен размер маски: 20%
[2026-08-07 14:52:37,102] [INFO] Изменен размер маски: 21%
[2026-08-07 14:52:37,152] [INFO] Изменен размер маски: 25%
[2026-08-07 14:52:37,183] [INFO] Изменен размер маски: 27%
[2026-08-07 14:52:37,231] [INFO] Изменен размер маски: 29%
[2026-08-07 14:52:37,263] [INFO] Изменен размер маски: 29%
[2026-08-07 14:52:37,312] [INFO] Изменен размер маски: 30%
[2026-08-07 14:52:37,344] [INFO] Изменен размер маски: 30%
[2026-08-07 14:52:37,396] [INFO] Изменен размер маски: 31%
[2026-08-07 14:52:45,820] [INFO] Состояние плеера изменено: PLAY
[2026-08-07 14:52:47,619] [INFO] Состояние плеера изменено: PAUSE
[2026-08-07 14:55:39,930] [INFO] Закрытие приложения пользователем.
